# Populated places used to name carpool stops. GENERATED FILE — do not edit.
# Regenerate with scripts/generate-places.mjs (see that file for the source data).
#
# Source: GeoNames (https://www.geonames.org/), licensed CC BY 4.0.
# Norway: every populated place. Sweden: those within 150 km of Norway.
#
# One place per line: name|latitude|longitude
Njárga, Porsanger|70.3226|25.1379
Indre Ravelseidet, Nordreisa|69.8333|20.7833
Gieddi, Porsanger|70.3812|25.4955
Indre Kiberg, Vardø|70.2751|30.9449
Hop, Gamvik|70.807|28.1025
Breannjá, Porsanger|70.5062|25.7319
Billávuotna, Porsanger|70.3153|25.0461
Iggaldas, ålgot, Porsanger|70.2286|24.9366
Høybukta, Sør-Varanger|69.73|29.8838
Horsnes, Storfjord|69.3256|20.0153
Honningsvåg, Nordkapp|70.9821|25.9704
Heastanjárga, Porsanger|70.3084|25.4679
Hesseng, Sør-Varanger|69.6875|29.9968
Jarfjordbotn, Sør-Varanger|69.6745|30.3151
Hellnes, Skjervøy|70.1408|20.8096
Ávanuorri, Måsøy|70.9963|24.6622
Haukøynes, Skjervøy|70.0333|21.2333
Haugnes, Skjervøy|70.0339|20.5733
Hasvik|70.4864|22.1611
Hansvoll, Hasvik|70.595|22.3019
Gárgu, Nordreisa|69.7885|20.5672
Havningberg, Båtsfjord|70.5411|30.61
Hamnnes, Skjervøy|70.112|20.7718
Hamneidet, Nordreisa|69.9289|20.9592
Hamnbukt, Porsanger|70.0913|25.0721
Hamna, Båtsfjord|70.536|30.0915
Hammerfest|70.6631|23.6809
Hammernes, Nesseby|70.1428|28.9259
Halsen, Hammerfest|70.5111|24.0253
Hakkstabben, Alta|70.2785|23.1225
Gulgofjorden, Berlevåg|70.6806|28.6312
Grunnfjorden, Skjervøy|70.05|20.65
Grasbakken, Nesseby|70.076|28.8043
Golnes, Vadsø|70.0733|30.0317
Gjesvær, Nordkapp|71.0983|25.3761
Geitvika, Skjervøy|70.05|20.4333
Gandvik, Nesseby|70.0103|29.1232
Gamvik|71.0639|28.2465
Gunnarnes, Måsøy|70.9983|24.1165
Gammelheim, Alta|70.0284|23.4584
Smalfjord, Tana|70.4393|28.0619
Furuflaten, Lyngen|69.4408|20.1558
Fossmo, Storfjord|69.3635|20.2654
Fossen, Kåfjord|69.5254|20.5245
Forsøl, Hammerfest|70.7217|23.8007
Flata, Porsanger|70.0167|24.95
Finnes, Måsøy|71.0809|24.0145
Finneidet, Skjervøy|70.0333|20.95
Fastdalen, Lyngen|69.6667|20.2667
Engenes, Kåfjord|69.72|20.5257
Engenes, Skjervøy|70.0667|21
Elvestrand, Alta|69.9518|23.2646
Elvenes, Sør-Varanger|69.6793|30.105
Elven, Skjervøy|70.05|20.7
Elvejord, Lyngen|69.6262|20.3419
Elvebakken, Alta|69.9694|23.3736
Elsnes, Storfjord|69.3378|20.0534
Dulerohtu, Porsanger|70.0477|25.015
Eiby, Alta|69.8862|23.2038
Djupvik, Kåfjord|69.7514|20.4926
Digernes, Nesseby|70.0833|28.75
Burstad, Måsøy|70.8585|24.3257
Burfjord, Kvænangen|69.938|22.0521
Bunes, Nesseby|70.1705|28.756
Bukta, Lebesby|70.5572|27.0169
Bukta, Alta|69.9777|23.304
Bugøynes, Sør-Varanger|69.9729|29.6423
Bugøyfjord, Sør-Varanger|69.8682|29.3455
Brenngam, Lebesby|70.8952|27.2698
Brennelv, Porsanger|70.0542|25.0305
Breivik, Hasvik|70.5972|22.1089
Brattli, Sør-Varanger|69.5646|30.0795
Botn, Alta|70.2031|22.5836
Bossekop, Alta|69.9719|23.2592
Børselvnes, Hammerfest|70.3167|24.4167
Etelänpuoli, Porsanger|70.305|25.5281
Boavva, Loppa|70.2862|21.5604
Bjørnstad, Alta|69.9167|23.5
Bjørnevatn, Sør-Varanger|69.6675|29.9872
Bjørndal, Sør-Varanger|69.6201|29.966
Bjørkli, Kåfjord|69.5333|20.6667
Birtavarre, Kåfjord|69.4938|20.8321
Bilto, Nordreisa|69.485|21.4777
Bigganes, Nesseby|70.1239|28.5966
Berlevåg|70.8578|29.0864
Bergsfjord, Loppa|70.2496|21.7909
Bergjord, Kåfjord|69.6333|20.4833
Bergeby, Nesseby|70.1485|28.9064
Båtsfjord|70.6343|29.7175
Bonakas, Tana|70.4269|28.2332
Bakkeby, Nordreisa|69.8506|20.8486
Baukop, Porsanger|70.2083|24.914
